FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
0,5.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,0.000000000000000,100.000000000000000,N,W,-118.691999999999993,36.722340000000003,9.520001000000001,1783.000000000000000,ZONE 00078,WPT 711,"Conifer, Mixed",mixed conifer,2016_Early,2861.000000000000000, , , , , , , ,4.0000000,4.0000000,125.1859970,8,2.0000000,6.1223602,2474.9499512,2003,1,1,354.869738589999997
1,10.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,25.000000000000000,100.000000000000000,N,W,-118.691999999999993,36.722425000000001,7.950000000000000,1783.000000000000000,ZONE 00078,7.95,"Conifer, Mixed",mixed conifer,2016_Early,2862.000000000000000, , , , , , , ,4.0000000,4.0000000,122.2320023,9,15.0000000,6.2052102,2475.5500488,2003,1,1,352.706215460000010
2,15.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,50.000000000000000,100.000000000000000,N,W,-118.691999999999993,36.722510000000000,5.460000000000000,1783.000000000000000,ZONE 00078,5.46,"Conifer, Mixed",mixed conifer,2016_Early,2871.000000000000000, , , , , , , ,4.0000000,4.0000000,116.7990036,10,0.0000000,6.3191500,2476.1201172,2003,1,1,350.542689940000002
3,20.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,75.000000000000000,100.000000000000000,N,W,-118.691999999999993,36.722594999999998,6.070000000000000,1329.000000000000000,[No GPS Lock],6.07,"Conifer, Mixed",mixed conifer,2016_Early,2859.000000000000000, , , , , , , ,4.0000000,4.0000000,105.2279968,11,1.0000000,5.9994798,2476.5600586,2003,1,1,348.379162020000024
4,25.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,100.000000000000000,100.000000000000000,N,W,-118.691999999999993,36.722679999999997,11.820000000000000,1329.000000000000000,[No GPS Lock],WPT 710,"Conifer, Mixed",mixed conifer,2016_Early,2858.000000000000000, , , , , , , ,4.0000000,4.0000000,105.2279968,11,1.0000000,5.9994798,2476.5600586,2003,1,1,347.492754890000015
5,4.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,0.000000000000000,75.000000000000000,N,W,-118.691749999999999,36.722340000000003,8.619999999999999,1783.000000000000000,ZONE 00078,8.62,"Conifer, Mixed",mixed conifer,2016_Early,2860.000000000000000, , , , , , , ,4.0000000,4.0000000,116.4020004,8,4.0000000,6.2405601,2472.0700684,2003,1,1,327.871205190000012
6,9.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,25.000000000000000,75.000000000000000,N,W,-118.691749999999999,36.722422999999999,6.890000000000000,1783.000000000000000,ZONE 00078,6.89,"Conifer, Mixed",mixed conifer,2016_Early,2863.000000000000000, , , , , , , ,4.0000000,4.0000000,116.6790009,9,4.0000000,6.2258101,2472.5800781,2003,1,1,325.587353810000025
7,14.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,50.000000000000000,75.000000000000000,N,W,-118.691749999999999,36.722504999999998,5.590000000000000,1783.000000000000000,ZONE 00078,5.59,"Conifer, Mixed",mixed conifer,2016_Early,2870.000000000000000, , , , , , , ,4.0000000,4.0000000,115.4169998,10,1.0000000,6.1904101,2473.0400391,2003,1,1,323.303499989999978
8,19.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,75.000000000000000,75.000000000000000,N,W,-118.691749999999999,36.722588000000002,4.390000000000000,1329.000000000000000,[No GPS Lock],4.39,"Conifer, Mixed",mixed conifer,2016_Early,2861.000000000000000, , , , , , , ,4.0000000,4.0000000,115.4169998,10,1.0000000,6.1904101,2473.0400391,2003,1,1,321.019643710000025
9,24.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,100.000000000000000,75.000000000000000,N,W,-118.691749999999999,36.722670000000001,10.000000000000000,1329.000000000000000,[No GPS Lock],10,"Conifer, Mixed",mixed conifer,2016_Early,2857.000000000000000, , , , , , , ,4.0000000,4.0000000,105.3690033,11,0.0000000,5.9001698,2473.5300293,2003,1,1,319.939798580000001
10,3.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,0.000000000000000,50.000000000000000,N,W,-118.691500000000005,36.722340000000003,6.490000000000000,1783.000000000000000,ZONE 00078,6.49,"Conifer, Mixed",mixed conifer,2016_Early,2859.000000000000000, , , , , , , ,4.0000000,4.0000000,114.4140015,7,3.0000000,6.4096298,2470.0000000,2003,1,1,300.987556400000017
11,8.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,25.000000000000000,50.000000000000000,N,W,-118.691500000000005,36.722420000000000,6.690000000000000,1783.000000000000000,ZONE 00078,6.69,"Conifer, Mixed",mixed conifer,2016_Early,2864.000000000000000, , , , , , , ,4.0000000,4.0000000,118.0279999,8,1.0000000,6.6668501,2470.4699707,2003,1,1,298.570369679999999
12,13.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,50.000000000000000,50.000000000000000,N,W,-118.691500000000005,36.722499999999997,6.500000000000000,1783.000000000000000,ZONE 00078,6.5,"Conifer, Mixed",mixed conifer,2016_Early,2869.000000000000000, , , , , , , ,4.0000000,4.0000000,113.0920029,9,0.0000000,6.4553699,2471.1699219,2003,1,1,296.153180440000028
