FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_veg,2014_veg,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year,Fire_Num,Fire_Max_Sev,SubSite
20,1,6/1/2016 0:00,9:18,53, , ,0,0,N,W,-118.691,36.72234,10.29,1783,[No GPS Lock],WPT 709,Conifer  Mixed,mixed conifer,2016_Early,2855, , , , , , , ,4,4,113.3860016,6,3,5.4948301,2464.149902,2003,1,2,1
15,2,6/1/2016 0:00,9:12,53, , ,0,25,N,W,-118.69125,36.72234,5.29,1783,ZONE 00078,5.29,Conifer  Mixed,mixed conifer,2016_Early,2858, , , , , , , ,4,4,119.6949997,7,1,6.2463999,2466.979981,2003,1,1,1
10,3,6/1/2016 0:00,9:13,53, , ,0,50,N,W,-118.6915,36.72234,6.49,1783,ZONE 00078,6.49,Conifer  Mixed,mixed conifer,2016_Early,2859, , , , , , , ,4,4,114.4140015,7,3,6.4096298,2470,2003,1,1,1
5,4,6/1/2016 0:00,9:13,53, , ,0,75,N,W,-118.69175,36.72234,8.62,1783,ZONE 00078,8.62,Conifer  Mixed,mixed conifer,2016_Early,2860, , , , , , , ,4,4,116.4020004,8,4,6.2405601,2472.070068,2003,1,1,1
0,5,6/1/2016 0:00,9:14,53, , ,0,100,N,W,-118.692,36.72234,9.520001,1783,ZONE 00078,WPT 711,Conifer  Mixed,mixed conifer,2016_Early,2861, , , , , , , ,4,4,125.185997,8,2,6.1223602,2474.949951,2003,1,1,1
21,6,6/1/2016 0:00,9:17,53, , ,25,0,N,W,-118.691,36.722415,7.69,1783,ZONE 00078,7.69,Conifer  Mixed,mixed conifer,2016_Early,2866, , , , , , , ,4,4,109.0339966,7,0,5.5968099,2464.550049,2003,1,2,1
16,7,6/1/2016 0:00,9:17,53, , ,25,25,N,W,-118.69125,36.722417,9.04,1783,ZONE 00078,9.04,Conifer  Mixed,mixed conifer,2016_Early,2865, , , , , , , ,4,4,114.6900024,8,0,6.29636,2467.659912,2003,1,1,1
11,8,6/1/2016 0:00,9:16,53, , ,25,50,N,W,-118.6915,36.72242,6.69,1783,ZONE 00078,6.69,Conifer  Mixed,mixed conifer,2016_Early,2864, , , , , , , ,4,4,118.0279999,8,1,6.6668501,2470.469971,2003,1,1,1
6,9,6/1/2016 0:00,9:15,53, , ,25,75,N,W,-118.69175,36.722423,6.89,1783,ZONE 00078,6.89,Conifer  Mixed,mixed conifer,2016_Early,2863, , , , , , , ,4,4,116.6790009,9,4,6.2258101,2472.580078,2003,1,1,1
1,10,6/1/2016 0:00,9:15,53, , ,25,100,N,W,-118.692,36.722425,7.95,1783,ZONE 00078,7.95,Conifer  Mixed,mixed conifer,2016_Early,2862, , , , , , , ,4,4,122.2320023,9,15,6.2052102,2475.550049,2003,1,1,1
22,11,6/1/2016 0:00,9:18,53, , ,50,0,N,W,-118.691,36.72249,8.09,1783,ZONE 00078,8.09,Conifer  Mixed,mixed conifer,2016_Early,2867, , , , , , , ,4,4,109.0339966,7,0,5.5968099,2464.550049,2003,1,2,1
17,12,6/1/2016 0:00,9:19,53, , ,50,25,N,W,-118.69125,36.722495,5.61,1783,ZONE 00078,5.61,Conifer  Mixed,mixed conifer,2016_Early,2868, , , , , , , ,4,4,114.6900024,8,0,6.29636,2467.659912,2003,1,1,1
