"","MEASID","Site","LonPoint","LatPoint","sm","ID","Zone","Notes","Veg_Orig","Trip","Veg","Year"
"1",1,"53",-118.691,36.72234,10.29,1783,"[No GPS Lock]","WPT 709","Conifer, Mixed","2016_Early","mixed conifer","2016"
"2",2,"53",-118.69125,36.72234,5.29,1783,"ZONE 00078","5.29","Conifer, Mixed","2016_Early","mixed conifer","2016"
"3",3,"53",-118.6915,36.72234,6.49,1783,"ZONE 00078","6.49","Conifer, Mixed","2016_Early","mixed conifer","2016"
"4",4,"53",-118.69175,36.72234,8.62,1783,"ZONE 00078","8.6199999999999992","Conifer, Mixed","2016_Early","mixed conifer","2016"
"5",5,"53",-118.692,36.72234,9.520001,1783,"ZONE 00078","WPT 711","Conifer, Mixed","2016_Early","mixed conifer","2016"
"6",6,"53",-118.691,36.722415,7.69,1783,"ZONE 00078","7.69","Conifer, Mixed","2016_Early","mixed conifer","2016"
"7",7,"53",-118.69125,36.7224175,9.04,1783,"ZONE 00078","9.0399999999999991","Conifer, Mixed","2016_Early","mixed conifer","2016"
"8",8,"53",-118.6915,36.72242,6.69,1783,"ZONE 00078","6.69","Conifer, Mixed","2016_Early","mixed conifer","2016"
"9",9,"53",-118.69175,36.7224225,6.89,1783,"ZONE 00078","6.89","Conifer, Mixed","2016_Early","mixed conifer","2016"
"10",10,"53",-118.692,36.722425,7.95,1783,"ZONE 00078","7.95","Conifer, Mixed","2016_Early","mixed conifer","2016"
"11",11,"53",-118.691,36.72249,8.09,1783,"ZONE 00078","8.09","Conifer, Mixed","2016_Early","mixed conifer","2016"
"12",12,"53",-118.69125,36.722495,5.61,1783,"ZONE 00078","5.61","Conifer, Mixed","2016_Early","mixed conifer","2016"
"13",13,"53",-118.6915,36.7225,6.5,1783,"ZONE 00078","6.5","Conifer, Mixed","2016_Early","mixed conifer","2016"
"14",14,"53",-118.69175,36.722505,5.59,1783,"ZONE 00078","5.59","Conifer, Mixed","2016_Early","mixed conifer","2016"
"15",15,"53",-118.692,36.72251,5.46,1783,"ZONE 00078","5.46","Conifer, Mixed","2016_Early","mixed conifer","2016"
"16",16,"53",-118.691,36.722565,7.99,1329,"[No GPS Lock]","7.99","Conifer, Mixed","2016_Early","mixed conifer","2016"
"17",17,"53",-118.69125,36.7225725,8.53,1329,"[No GPS Lock]","8.5299999999999994","Conifer, Mixed","2016_Early","mixed conifer","2016"
"18",18,"53",-118.6915,36.72258,6.15,1329,"[No GPS Lock]","6.15","Conifer, Mixed","2016_Early","mixed conifer","2016"
"19",19,"53",-118.69175,36.7225875,4.39,1329,"[No GPS Lock]","4.3899999999999997","Conifer, Mixed","2016_Early","mixed conifer","2016"
